TIF,施設,全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,回答数順位,回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
越前和紙の里 エリア,2,,,,,,,,4,,,,,1,0,50,,,,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
越前海岸 茂原民宿街 エリア,3,,,,,,,,4.333333333,,,,,2,0,66.66666667,,,,0,0,1,0,1,1,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
美浜町健康楽膳拠点施設こるぱエリア,1,,,,,,,,4,,,,,0,1,-100,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
越前海岸 越前岬 エリア,2,,,,,,,,4.5,,,,,1,1,0,,,,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,立山町,77,,,,,,,,4.363636364,,,,,47,8,0.506493507,,,,1,7,9,10,23,21,5,0,0,0,32,45,20,15,12,8,22,7,3,8,32,2,10,0,0,10,3,0,2,19,31,32,18,0,0,0,4,0,20,4,4,0,1,5,0,4,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,1,1,2,4,8,6,2,22,2,0,2,1,1,1,4,0,3,1,6,1,3,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
富山県,氷見市,203,,,,,,,,4.221674877,,,,,90,41,0.24137931,,,,3,11,13,22,59,67,22,0,0,0,69,132,93,43,16,11,40,11,5,36,61,5,47,0,0,16,17,0,5,79,109,131,15,0,0,0,10,0,5,9,9,0,1,11,0,3,,,,,,,,,,,,,,3,0,0,0,0,0,2,3,2,2,7,2,8,12,1,79,18,3,0,6,6,4,11,0,3,3,15,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
富山県,上市町,19,,,,,,,,4.578947368,,,,,8,4,0.210526316,,,,0,3,2,0,6,5,2,0,0,0,8,11,6,5,1,0,7,2,0,0,10,0,4,0,0,1,2,0,0,3,5,13,3,0,0,0,1,0,3,1,1,0,1,5,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,7,3,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,射水市,86,,,,,,,,4.139534884,,,,,36,18,0.209302326,,,,1,2,11,17,28,24,3,0,0,0,35,50,28,5,10,8,35,7,4,8,36,2,8,0,0,4,14,0,3,18,28,62,13,0,0,0,10,0,3,6,6,0,0,6,0,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,2,0,2,3,5,4,31,8,4,0,5,5,1,5,1,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
富山県,黒部市,100,,,,,,,,4.3,,,,,52,12,0.4,,,,1,8,12,15,27,25,12,0,0,0,52,47,32,19,15,8,26,16,5,6,38,4,14,0,0,5,9,0,3,26,51,65,19,0,0,0,6,0,8,8,8,0,2,12,0,1,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,1,5,8,1,9,3,9,21,7,1,0,5,0,2,8,1,0,3,3,3,1,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
富山県,砺波市,141,,,,,,,,4.276595745,,,,,70,16,0.382978723,,,,1,17,15,18,47,34,8,0,0,0,44,96,50,18,11,8,54,6,13,19,53,2,32,0,0,8,7,0,1,34,44,78,46,0,0,0,17,0,7,7,7,0,0,7,0,2,,,,,,,,,,,,,,0,1,0,0,0,2,1,1,1,0,5,1,6,4,1,39,21,5,0,6,3,4,12,4,5,2,12,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
