全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,石川県の回答数順位,石川県の回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係
777,93,25,2.72,3,1,4.122743682,3.053763441,4.132635253,3.064516129,4.563876652,4.172043011,7.890604891,303,160,0.184041184,27,19,0.086021505,0.006435006,0.137709138,0.196911197,0.1994852,0.258687259,0.168597169,0.028314028,0.003861004,0,0,0.464607465,0.500643501,0.263835264,0.36036036,0.136422136,0.132561133,0.106821107,0.208494209,0.059202059,0.105534106,0.24967825,0.02960103,0.001287001,0.096525097,0.06048906,0.102960103,0.020592021,0,0.001287001,0.144144144,0.240669241,0.523809524,0.070785071,0,0,0,0.052767053,0,0,0,0,0,0,0.036036036,0,0.111969112
404,20,14,0.428571429,6,10,4.544041451,4.55,4.576623377,4.2,4.596638655,4.5,8.48019802,215,46,0.418316832,9,5,0.2,0.002475248,0.074257426,0.425742574,0.341584158,0.116336634,0.032178218,0.007425743,0,0,0,0.378712871,0.591584158,0.158415842,0.111386139,0.049504951,0.056930693,0.623762376,0.034653465,0.027227723,0.01980198,0.047029703,0.002475248,0,0.032178218,0.002475248,0.742574257,0.054455446,0,0,0.096534653,0.150990099,0.257425743,0.096534653,0,0,0,0.044554455,0,0,0,0,0,0,0.044554455,0,0.00990099
274,9,1,8,10,19,4.425,3.444444444,4.492248062,4,4.522727273,4.444444444,8.667883212,157,22,0.49270073,6,1,0.555555556,0.00729927,0.109489051,0.357664234,0.299270073,0.098540146,0.083941606,0.040145985,0.003649635,0,0,0.394160584,0.591240876,0.251824818,0.135036496,0.025547445,0.051094891,0.53649635,0.069343066,0.105839416,0.03649635,0.105839416,0.003649635,0.003649635,0.058394161,0.00729927,0.510948905,0.062043796,0,0,0.120437956,0.193430657,0.291970803,0.04379562,0,0,0,0.010948905,0,0,0,0,0,0,0.02919708,0,0.01459854
128,47,7,5.714285714,21,3,4.565217391,4.234042553,4.613445378,4.553191489,4.6,4.340425532,8.5,70,13,0.4453125,29,2,0.574468085,0.015625,0.109375,0.375,0.296875,0.1328125,0.0703125,0,0,0,0,0.3125,0.65625,0.265625,0.2265625,0.0859375,0.078125,0.34375,0.046875,0.03125,0.0546875,0.0859375,0.015625,0.0078125,0.09375,0,0.6328125,0.015625,0,0,0.1953125,0.25,0.3359375,0.03125,0,0,0,0.0546875,0,0,0,0,0,0,0.046875,0,0.015625
30,12,2,5,63,13,4.333333333,3.666666667,4.379310345,4.5,4.653846154,4.25,8.366666667,15,4,0.366666667,6,3,0.25,0,0.033333333,0.4,0.1,0.466666667,0,0,0,0,0,0.333333333,0.666666667,0.3,0.3,0.033333333,0.1,0.266666667,0.133333333,0.1,0.033333333,0.133333333,0.033333333,0,0.066666667,0.066666667,0.233333333,0.033333333,0,0,0.2,0.333333333,0.466666667,0.033333333,0,0,0,0.033333333,0,0,0,0,0,0,0.166666667,0,0.033333333
72,5,0,,35,22,4.228070175,4.4,4.322580645,4.6,4.358974359,4.6,7.736111111,27,18,0.125,3,0,0.6,0,0.083333333,0.152777778,0.222222222,0.375,0.138888889,0.027777778,0,0,0,0.347222222,0.638888889,0.347222222,0.152777778,0.041666667,0.111111111,0.347222222,0.111111111,0.013888889,0.125,0.277777778,0,0,0.222222222,0.027777778,0.111111111,0.027777778,0,0,0.111111111,0.347222222,0.486111111,0.125,0,0,0,0.069444444,0,0,0,0,0,0,0.125,0,0.027777778
215,28,5,4.6,12,9,4.472906404,4.571428571,4.45320197,4.571428571,4.577777778,4.678571429,8.106976744,97,37,0.279069767,17,2,0.535714286,0.065116279,0.130232558,0.237209302,0.279069767,0.148837209,0.102325581,0.03255814,0.004651163,0,0,0.395348837,0.572093023,0.479069767,0.246511628,0.055813953,0.060465116,0.158139535,0.018604651,0.03255814,0.11627907,0.162790698,0.018604651,0.004651163,0.158139535,0.004651163,0.325581395,0.03255814,0,0,0.362790698,0.479069767,0.437209302,0.069767442,0,0,0,0.027906977,0,0,0,0,0,0,0.009302326,0,0.004651163
212,11,3,2.666666667,13,15,4.403614458,3.727272727,4.38372093,4.454545455,4.537037037,4.727272727,7.976415094,83,41,0.198113208,4,1,0.272727273,0.004716981,0.117924528,0.235849057,0.226415094,0.273584906,0.117924528,0.023584906,0,0,0,0.372641509,0.589622642,0.273584906,0.259433962,0.127358491,0.094339623,0.245283019,0.349056604,0.075471698,0.094339623,0.179245283,0.009433962,0,0.094339623,0.037735849,0.080188679,0.009433962,0,0,0.141509434,0.287735849,0.410377359,0.033018868,0,0,0,0.113207547,0,0,0,0,0,0,0.018867925,0,0.080188679
185,3,0,,16,29,4.576687117,3,4.622754491,3,4.587412587,4.333333333,8.340540541,98,26,0.389189189,2,0,0.666666667,0,0.059459459,0.243243243,0.124324324,0.232432432,0.27027027,0.07027027,0,0,0,0.362162162,0.605405405,0.691891892,0.189189189,0.091891892,0.027027027,0,0.005405405,0.07027027,0.064864865,0.405405405,0,0.005405405,0.189189189,0.016216216,0.097297297,0.016216216,0,0,0.778378378,0.805405405,0.708108108,0.075675676,0,0,0,0,0,0,0,0,0,0,0.005405405,0,0.021621622
62,1,5,-0.8,38,40,4.589285714,4,4.589285714,4,4.583333333,4,8.451612903,34,8,0.419354839,0,0,0,0,0.129032258,0.387096774,0.14516129,0.161290323,0.177419355,0,0,0,0,0.387096774,0.564516129,0.741935484,0.14516129,0.096774194,0.016129032,0,0.016129032,0.14516129,0.096774194,0.403225807,0,0,0.14516129,0.016129032,0.112903226,0,0,0,0.64516129,0.85483871,0.725806452,0.129032258,0,0,0,0,0,0,0,0,0,0,0.048387097,0,0.032258065
